"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","328","Delete User","firefox","Sat Nov 23 10:58:53 GMT 2024","passed","Sat Nov 23 10:58:54 GMT 2024","API challenge","api-tests.test.js","",""
"","1405","Check contact list, after not add contact","firefox","Sat Nov 23 10:59:05 GMT 2024","passed","Sat Nov 23 10:59:06 GMT 2024","Test with login user","ui-tests.spec.js","",""
"","325","Add Contact","firefox","Sat Nov 23 10:58:54 GMT 2024","passed","Sat Nov 23 10:58:54 GMT 2024","API challenge","api-tests.test.js","",""
"","355","Get Contact","firefox","Sat Nov 23 10:58:54 GMT 2024","passed","Sat Nov 23 10:58:55 GMT 2024","API challenge","api-tests.test.js","",""
"","2020","Check сontact validation failed","firefox","Sat Nov 23 10:58:59 GMT 2024","passed","Sat Nov 23 10:59:01 GMT 2024","Test with login user","ui-tests.spec.js","",""
"","580","Check incorrect log in","firefox","Sat Nov 23 10:58:56 GMT 2024","passed","Sat Nov 23 10:58:56 GMT 2024","Test without login user","ui-tests.spec.js","",""
"","2238","Create new contact","firefox","Sat Nov 23 10:59:01 GMT 2024","passed","Sat Nov 23 10:59:03 GMT 2024","Test with login user","ui-tests.spec.js","",""
"","889","Add user","firefox","Sat Nov 23 10:58:51 GMT 2024","passed","Sat Nov 23 10:58:52 GMT 2024","API challenge","api-tests.test.js","",""
"","375","Log In User","firefox","Sat Nov 23 10:58:52 GMT 2024","passed","Sat Nov 23 10:58:53 GMT 2024","API challenge","api-tests.test.js","",""
"","327","Log Out User","firefox","Sat Nov 23 10:58:53 GMT 2024","passed","Sat Nov 23 10:58:53 GMT 2024","API challenge","api-tests.test.js","",""
"","355","Delete Contact","firefox","Sat Nov 23 10:58:54 GMT 2024","passed","Sat Nov 23 10:58:54 GMT 2024","API challenge","api-tests.test.js","",""
"","306","Get User Profile","firefox","Sat Nov 23 10:58:53 GMT 2024","passed","Sat Nov 23 10:58:53 GMT 2024","API challenge","api-tests.test.js","",""
"","995","Go to api documentation","firefox","Sat Nov 23 10:58:56 GMT 2024","passed","Sat Nov 23 10:58:57 GMT 2024","Test without login user","ui-tests.spec.js","",""
"","1646","Click logOut","firefox","Sat Nov 23 10:58:57 GMT 2024","passed","Sat Nov 23 10:58:59 GMT 2024","Test with login user","ui-tests.spec.js","",""
"","389","Get Contact List","firefox","Sat Nov 23 10:58:55 GMT 2024","passed","Sat Nov 23 10:58:55 GMT 2024","API challenge","api-tests.test.js","",""
"","392","Update Contact","firefox","Sat Nov 23 10:58:55 GMT 2024","passed","Sat Nov 23 10:58:55 GMT 2024","API challenge","api-tests.test.js","",""
"","2026","Check correct login","firefox","Sat Nov 23 10:59:03 GMT 2024","passed","Sat Nov 23 10:59:05 GMT 2024","Test with login user","ui-tests.spec.js","",""
"","2030","Make new user with used email","firefox","Sat Nov 23 10:59:06 GMT 2024","passed","Sat Nov 23 10:59:08 GMT 2024","Test with login user","ui-tests.spec.js","",""
